名称,ランク,ドロップ,属性,基本性能,スキル,備考
ドラゴンチェイサー,レア,コロシアム・本戦準決勝,斬,攻撃力：390 命中：300 攻撃回数：5 解錠：40.0 致命打率：40.0 竜特攻：30.0,,
鋼の大鋏,レア,海底神殿 スチームウォール,斬,攻撃力：400 防御力：300 攻撃回数：4 斬耐性：25.0 毒耐性：50.0,,
パラサイトナイフ,レア,プリズナーズライン,斬,攻撃力：100 命中：300 攻撃回数：3 致命打率：10.0 毒攻撃：50.0 麻痺攻撃：50.0 停止攻撃：50.0 火耐性：-20.0 毒耐性：-50.0 麻痺耐性：-50.0 停止耐性：-50.0,培養,
反逆者のジャックナイフ,レア,吊し人座,斬,攻撃力：650 回避：400 行動速度：600 攻撃回数：6 敵対：-500.0 致命打率：80.0 致命打威力：30.0 多段攻撃：80.0 人型特攻：30.0 反射ダメージ：250.0 反撃無効化率：12.0,［無効］逆転 ［上限］回避率Lv.3,
クリムゾンダガー,レア,監獄迷宮,斬,攻撃力：550 命中：250 行動速度：550 吸収：5 致命打率：40.0 致命打威力：40.0 多段攻撃：20.0 火耐性：15.0 固定ダメージ：40.0,［変換］吸収200%⇒致命打威力,
霧刃のナイフ,レア,月影の巌窟島,斬,攻撃力：620 魔力：150 命中：260 回避：300 攻撃回数：4 多段攻撃：60.0 水威力：20.0 水耐性：10.0 風耐性：10.0 最低命中率：2.5 反撃発動率：2.5 反撃無効化率：2.5,,
クリスタルダガー,レア,クリスタル峡谷,斬,攻撃力：350 魔力：350 魔防：150 命中：350 致命打率：30.0 多段攻撃：20.0 無威力：10.0 固定ダメージ：50.0,［変換］吸収100%⇒無威力,
美少年の短剣,レア,水瓶座,斬,HP：-2000 攻撃力：50 命中：300 毒攻撃：30.0 即死攻撃：5.0 毒威力：2.0 最低命中率：3.0,,
オレンジナイフ,レア,新大陸の海,斬,攻撃力：300 魔力：300 命中：300 火威力：5.0 水威力：5.0 風威力：5.0 地威力：5.0 雷威力：5.0 固定ダメージ：90.0,,
兵隊蟻の顎門,ユニーク,アキーク大砂丘,斬,攻撃力：120 攻撃回数：3 致命打率：40.0 貫通攻撃：30.0,,
巨蟹のハサミ,ユニーク,北西の海岸線 地下水路 蟹座,斬,攻撃力：180 攻撃回数：3 致命打率：30.0 多段攻撃：20.0 水威力：30.0 火耐性：10.0,,
獣の牙,ユニーク,亜熱帯の草原 逆流溶岩道 月影の巌窟島,突,HP：200 攻撃力：330 攻撃回数：4 致命打率：40.0 多段攻撃：30.0 魔獣特攻：30.0 突威力：5.0 地耐性：10.0 狂化耐性：-10.0,,
地脈の楔,ユニーク,四大精霊の塔,斬,HP：800 攻撃力：350 魔防：200 攻撃回数：3 戦闘後全体回復：2.0 致命打率：40.0 石化攻撃：10.0 多段攻撃：25.0 石化耐性：50.0,,
ファイアーキーパー,ユニーク,消えずの灯台 No.13,斬,攻撃力：350 回避：250 攻撃回数：3 自然回復：3.0 致命打率：30.0 多段攻撃：30.0 火耐性：20.0 夜間命中：20.0,暗視,灯台セット
リーサルダーツ,ユニーク,忘らるる金塊船,突,攻撃力：9 命中：100 攻撃回数：3 致命打率：9.0 致命打威力：36.0 即死攻撃：9.0 突威力：30.0 水威力：30.0 反撃無効化率：10.0,,
メルティデス,ユニーク,マグマストリーム,斬,攻撃力：500 命中：300 攻撃回数：3 致命打率：45.0 致命打威力：25.0 多段攻撃：50.0 即死攻撃：15.0 人型特攻：70.0 最低命中率：1.5 反撃無効化率：10.0,,
ダブルスターダガー,ユニーク,ディープシーケイブ,斬,攻撃力：240 攻撃回数：2 致命打率：20.0 多段攻撃：20.0 アイテムDROP率：1.0 固定ダメージ：20.0,ダガースロー,ダブルスターセット
月無しの短剣,ユニーク,監獄島の港,斬,攻撃力：480 魔力：250 命中：350 行動速度：300 敵対：-250.0 致命打率：20.0 悪魔特攻：25.0 夜間命中：30.0 オプション付与率：1.5,［無効］暗闇 ［変換］夜間命中20%⇒［倍率］魔力,満ち欠けセット
灼熱ジャンビーヤ,ユニーク,燃える大海,斬,攻撃力：400 魔力：400 命中：300 回避：250 致命打率：20.0 多段攻撃：20.0 火威力：40.0 火耐性：20.0,［発動］ファイアーストーム ［灼熱］魔力+20%,
ラビットニブル,ユニーク,レッドコースト,突,攻撃力：40 命中：400 回避：400 攻撃回数：4 多段攻撃：80.0 固定ダメージ：120.0 最低命中率：4.0,兎咬 ［変換］多段攻撃40%⇒固定ダメージ,
女王蜂の毒針,ユニーク,地竜の森,突,攻撃力：300 命中：400 致命打率：30.0 毒攻撃：70.0 麻痺攻撃：70.0 毒威力：2.0 固定ダメージ：30.0 最低命中率：2.0,毒針 女王の毒,
化石の記憶,ユニーク,無明の最深層,斬,攻撃力：350 防御力：400 命中：300 石化攻撃：20.0 地威力：15.0 地耐性：25.0 石化耐性：-25.0 固定ダメージ：90.0,化石の記憶,
モンキーレンチ,ユニーク,奇跡の源泉,壊,攻撃力：1 防御力：300 魔防：300 命中：400 解錠：120.0 トラップ数：2.0 機械特攻：25.0,モンキービジネス ［行動制限］攻撃 ［短縮］状態異常クールダウンLv.2 ［短縮］罠クールダウンLv.2,
墓暴きのシャベル,アーティファクト,アキーク王宮 初代王のピラミッド,突,HP：-200 攻撃力：70 攻撃回数：3 呪い攻撃：40.0 不死特攻：40.0 呪い耐性：-40.0,墓暴き ［状態］呪い,
ゴールドナイフ,アーティファクト,忘らるる金塊船,斬,攻撃力：460 魔力：300 魔防：200 呪い耐性：-100.0 アイテムDROP率：2.0 固定ダメージ：30.0,［PT］オプション付与率+10,
トニトルス,アーティファクト,抜け落ちた海 雷竜座,斬,攻撃力：700 魔力：500 命中：200 回避：300 行動速度：1000 攻撃回数：7 致命打率：60.0 致命打威力：30.0 貫通攻撃：40.0 雷威力：30.0,紫電一閃 ［変換］雷威力12%⇒［倍率］行動速度,
