名称,ランク,ドロップ,属性,基本性能,スキル,備考
情愛の松明,ユニーク,魚座,,HP：200 魔防：60 狂化耐性：25.0 アイテムDROP率：2.0 支援発動率：0.5,［無効］暗闇 魔法回避率Lv.4 ［上限］カウントLv.2 ［PT］探索時間-10%,
ブラッドアネモネ,ユニーク,魚座,,狂化攻撃：10.0 吸収：2.0 致命打率耐性：20.0 オプション付与率：2.0,［無効］暗闇,精力セット
箱舟の羅針盤,アーティファクト,丘の上の墓,,HP：150 水耐性：25.0 風耐性：25.0 混乱耐性：50.0 停止耐性：25.0,［PT］探索時間-5%,
銀色の歯車,アーティファクト,歯車の遺跡,,防御力：200 解錠：20.0 悪魔特攻：5.0 不死特攻：15.0 機械特攻：15.0 アイテムDROP率：1.5,,
消えずの種火,アーティファクト,消えずの灯台 No.13,,戦闘後全体回復：5.0 火威力：15.0 水耐性：25.0,発光 ［無効］暗闇 ［PT］探索時間-5%,灯台セット
グリズリーのぬいぐるみ,アーティファクト,コロシアム・模擬剣闘,,攻撃力：150 致命打威力：5.0 格闘：2.0 斬威力：5.0,,おやすみセット
愚者の耳栓,アーティファクト,パイレーツデッドシップ,,敵対：-100.0 呪い耐性：50.0 沈黙耐性：50.0 オプション付与率：2.0,［倍率］魔防+15%,
謎の飛行物体,アーティファクト,シーハーピィの狩猟場,,回避：250 行動速度：150 オプション付与率：2.5,浮遊 ［倍率］回避+20%,
逆転のサイコロ,アーティファクト,コロシアム・本戦準決勝,,解錠：30.0 呪い耐性：-50.0 アイテムDROP率：2.0,フルレバレッジ ［PT］オプション付与率+5,豪運セット
海に沈んだ天球儀,アーティファクト,星拾いの珊瑚島,,魔力：150 獲得経験値：10.0 水威力：10.0 水耐性：15.0 オプション付与率：0.5 潜在性：12.0,ウォーターヴェール 水中呼吸,
不屈の藁縄,アーティファクト,吊し人座,,HP：1000 防御力：300 地威力：10.0 斬耐性：20.0,不屈の精神 ［上限］斬耐性Lv.2 ［上限］忍耐カウントLv.5,
聖戦の遺物,アーティファクト,海底神殿,,防御力：100 魔力：100 魔防：250 斬耐性：10.0 突耐性：10.0 壊耐性：10.0 固定ダメージ：15.0,根源との接触 古代の知識Lv.2 ［PT］オプション付与率+5,
アンティキティラの歯車,アーティファクト,無明の最深層,,命中：200 固定ダメージ：20.0 最低命中率：1.0,計算機工学 ［PT］探索時間-10%,
謎のレリーフ,アーティファクト,ドワーフの試練遺跡,,魔力：250 自然回復：-2.0 無威力：5.0,［無力］火 ［無力］水 ［無力］地 ［無力］風 ［無力］雷 ［変換］火威力5%⇒無威力 ［変換］水威力5%⇒無威力 ［変換］地威力5%⇒無威力 ［変換］風威力5%⇒無威力 ［変換］雷威力5%⇒無威力,
裏切りの銀貨,アーティファクト,吊し人座,,HP：100 攻撃力：100 魔力：100 命中：100 地威力：15.0 固定ダメージ：20.0 反撃無効化率：5.0,不覊奔放 ［上限］忍耐カウントLv.2,
占星帝のモノクル,アーティファクト,占星帝国ガガリオン,,防御力：50 魔力：100 魔防：100 命中：100 致命打威力：10.0 風威力：10.0 風耐性：10.0,アストラルドーム ［上限］集中カウントLv.2,占星帝セット
セントエルモの双火,アーティファクト,双子座,,混乱耐性：20.0 狂化耐性：20.0 昼間命中：20.0 夜間命中：20.0 オプション付与率：2.0 最低命中率：2.0 支援発動率：2.0,セントエルモの双火,バイナリーセット
永久機関の設計図,アーティファクト,機工都市アルマニア,,防御力：200 魔力：100 魔防：200 自然回復：2.0 蘇生成功率：2.0,［短縮］回復クールダウンLv.2,
