名称,ランク,ドロップ,属性,基本性能,スキル,備考
フルコンボハンマー,ユニーク,マグマストリーム,壊,攻撃力：150 命中：700 攻撃回数：6 多段攻撃：30.0 固定ダメージ：50.0 最低命中率：4.0,フルコンボ コンバット,
エクスキューショナー,ユニーク,贖罪の双子塔,斬,攻撃力：1400 攻撃回数：-5 致命打率：25.0 致命打威力：30.0 即死攻撃：5.0 人型特攻：40.0 アイテムDROP率：2.5 最低命中率：3.0,介錯,
ダムレイの重壁斧,ユニーク,罪人たちの楽園,壊,攻撃力：1500 防御力：500 行動速度：-800 攻撃回数：-40 致命打威力：25.0 石化攻撃：30.0 拡散攻撃：65.0 人型特攻：30.0 地威力：15.0 石化耐性：15.0,ウォール 石化貫通 ［変換］石化攻撃12%⇒［倍率］攻撃力,
蒸気式蹂躙斧,ユニーク,約束された凪,壊,攻撃力：1350 防御力：300 攻撃回数：-25 拡散攻撃：25.0 壊威力：15.0 雷耐性：-25.0,蒸気機関 ［無力］魔法属性 ［変換］火威力50%⇒壊威力 ［変換］水威力50%⇒壊威力,
重力獅子の斧,ユニーク,地竜の森,壊,攻撃力：1200 命中：400 攻撃回数：-20 拡散攻撃：25.0 壊耐性：15.0 地耐性：25.0 アイテムDROP率：2.0,重力 ［回避率無視］重力 ［重力］攻撃力+15% ［重力］命中+50%,
カースドシックル,ユニーク,ドワーフの試練遺跡,斬,攻撃力：800 魔力：800 攻撃回数：-10 呪い攻撃：50.0 斬威力：10.0 呪い耐性：-50.0,呪いの授与 ［状態］呪い,
カマソッソの片翼,ユニーク,蝙蝠座,斬,攻撃力：1200 回避：500 攻撃回数：-5 即死攻撃：30.0 吸収：3.0 昼間命中：-25.0 昼間回避：-25.0 夜間命中：25.0 最低命中率：3.0,斬首 ［変換］吸収50%⇒［倍率］回避 ［変換］吸収50%⇒即死攻撃,
黄金のハルバード,ユニーク,黄金座,突,HP：1000 攻撃力：1000 防御力：500 魔防：500 攻撃回数：-5 貫通攻撃：20.0 拡散攻撃：20.0 斬耐性：5.0 突耐性：5.0 壊耐性：5.0 アイテムDROP率：4.0,ゴールデンスラム ［上限］忍耐カウントLv.2,
九首断,アーティファクト,海蛇座,斬,HP：500 攻撃力：2000 魔力：500 攻撃回数：-9 自然回復：2.0 致命打威力：25.0 拡散攻撃：30.0 魔獣特攻：40.0 斬威力：10.0 水威力：10.0 再行動発動率：3.0,九首断 ［無効］毒,
スイートアベンジャー,アーティファクト,月影の巌窟島,壊,攻撃力：1700 命中：400 攻撃回数：-10 敵対：400.0 致命打威力：25.0 拡散攻撃：25.0 吸収：3.0 混乱耐性：-20.0 狂化耐性：-20.0 反撃発動率：5.0,スイートアベンジ アベンジャー,
