名称,ランク,ドロップ,属性,基本性能,スキル,備考
ゴルベの破戒杖,ユニーク,罪人たちの楽園,壊,攻撃力：150 魔力：975 呪い攻撃：50.0 屍攻撃：50.0 不死特攻：20.0 水威力：20.0 アイテムDROP率：2.0 オプション付与率：1.5,［変換］呪い攻撃5%⇒［倍率］魔力 ［変換］屍攻撃5%⇒［倍率］魔力,
ルナールの魔偽典,ユニーク,罪人たちの楽園,壊,攻撃力：100 魔力：1050 獲得経験値：25.0 混乱攻撃：50.0 暗闇攻撃：50.0 雷威力：20.0,［変換］混乱攻撃5%⇒［倍率］魔力 ［変換］暗闇攻撃5%⇒［倍率］魔力,
獄鯨の肋骨,ユニーク,マグマストリーム,壊,攻撃力：550 命中：200 攻撃回数：1 致命打率：-50.0 致命打威力：50.0 沈黙攻撃：30.0 固定ダメージ：50.0 物理ブロック率：5.0,骨砕き,
量刑と恩赦の杖,ユニーク,贖罪の双子塔,壊,攻撃力：150 魔力：1050 魔防：250 風威力：10.0 雷威力：10.0 オプション付与率：2.0 反撃発動率：10.0,ジャッジメント,
インソムニア,ユニーク,月影の巌窟島,壊,HP：-400 魔力：1125 命中：100 自然回復：-10.0 致命打率：25.0 致命打威力：15.0 地威力：20.0 睡眠耐性：20.0 アイテムDROP率：2.0,［無効］睡眠 ［変換］睡眠耐性25%⇒［倍率］魔力,
ラヴァーズ・リラ,ユニーク,吟遊詩人ヒュルドの識界,壊,HP：400 攻撃力：250 魔力：1050 回避：200 行動速度：-200 戦闘後全体回復：5.0 睡眠攻撃：80.0 ブレス威力：10.0 斬耐性：20.0 沈黙耐性：50.0,愛のララバイ ［短縮］歌クールダウンLv.1,
グレムリンジャマー,ユニーク,無明の最深層,壊,魔力：750 命中：100 機械特攻：20.0 アイテムDROP率：3.0,ジャミング,
ガイアの願い,ユニーク,地竜の森,壊,魔力：900 命中：200 自然回復：2.0 地威力：20.0 風耐性：20.0 地耐性：20.0,ガイアの願い,
毒蛇の機械杖,ユニーク,機工都市アルマニア,壊,魔力：1050 命中：150 毒攻撃：50.0 ブレス威力：15.0 毒威力：2.0 毒耐性：20.0,ポイズンクラウド ポイズンブレス 猛る毒霧,
黒鼠の計算尺,ユニーク,地底大水脈,壊,攻撃力：400 魔力：400 命中：500 回避：500 行動速度：250 解錠：80.0 トラップ数：2.0 停止攻撃：50.0 即死攻撃：5.0 最低命中率：2.0,鼠算 ［短縮］策クールダウンLv.1,
ワンドオブホープ,アーティファクト,賢者ゼインの識界,壊,HP：250 攻撃力：200 魔力：825 水威力：35.0 雷威力：-50.0 呪い耐性：50.0 混乱耐性：50.0 潜在性：15.0,,
虐殺の心得,アーティファクト,監獄迷宮,壊,HP：-500 攻撃力：600 魔力：750 命中：250 敵対：200.0 致命打率：20.0 即死攻撃：10.0,皆殺し シリアルキラー ［状態］狂化,
原初の聖典,アーティファクト,海底神殿,壊,攻撃力：250 魔力：1125 魔防：400 命中：200 人型特攻：20.0 竜特攻：20.0 不死特攻：20.0 魔獣特攻：20.0 幻神特攻：20.0 潜在性：10.0,,
サイクロプスの魔宝杖,アーティファクト,ドワーフの試練遺跡,壊,攻撃力：900 防御力：500 魔力：900 命中：200 攻撃回数：-5 拡散攻撃：50.0 アイテムDROP率：2.0 オプション付与率：2.0 物理ブロック率：3.0,［無力］魔法属性 ［短縮］物理クールダウンLv.2 ［変換］魔力50%⇒攻撃力,
葦笛シュリンクス,アーティファクト,山羊座,突,攻撃力：1 命中：300 混乱攻撃：50.0 狂化攻撃：50.0 オプション付与率：2.0,パニックワルツ,
レグルスの風車杖,アーティファクト,占星帝国ガガリオン,壊,攻撃力：200 魔力：1175 魔防：500 命中：250 致命打威力：20.0 風威力：25.0 風耐性：20.0 オプション付与率：2.0 最低命中率：2.0,グランドクロス ［倍率］魔防+25% ［倍率］魔力+25%,占星帝セット
天命のタブレット,アーティファクト,丘の上の墓,壊,HP：900 攻撃力：250 魔力：1275 命中：240 アイテムDROP率：2.0 オプション付与率：1.0 潜在性：10.0,天命,
