名称,ランク,ドロップ,属性,基本性能,スキル,備考
ジェラシーレイピア,ユニーク,四大精霊の塔,突,攻撃力：400 攻撃回数：6 敵対：-100.0 致命打率：40.0 多段攻撃：35.0 突威力：25.0 混乱耐性：25.0 固定ダメージ：30.0 反撃無効化率：5.0,,
デスブリンガー,ユニーク,消えずの灯台 No.13,斬,攻撃力：600 致命打威力：15.0 即死攻撃：5.0 吸収：3.0 人型特攻：50.0 最低命中率：2.0,,
蒼海のレイピア,ユニーク,海上騎士団管轄海域,突,攻撃力：550 命中：300 攻撃回数：5 致命打率：30.0 多段攻撃：30.0 悪魔特攻：20.0 不死特攻：20.0 水威力：10.0 水耐性：20.0 固定ダメージ：50.0,突剣術Lv.1,
ゼラチンメタルの剣,ユニーク,シークレットトンネル,斬,攻撃力：1 命中：300 拡散攻撃：-100.0 拡散耐性：40.0 毒耐性：50.0 オプション付与率：1.5 固定ダメージ：100.0 最低命中率：5.0,,
ケレヴの牙剣,ユニーク,コロシアム・本戦第二試合 罪人たちの楽園,斬,攻撃力：650 行動速度：200 致命打率：30.0 致命打威力：25.0 狂化攻撃：10.0 多段攻撃：20.0,,
こそあどそーど,ユニーク,プリズナーズライン,斬,攻撃力：450 魔力：800 魔防：500 命中：200 攻撃回数：3 混乱攻撃：50.0 幻神特攻：40.0 風威力：10.0 風耐性：15.0 混乱耐性：-40.0 アイテムDROP率：2.0,［発動］コンフュージョン ［状態］混乱 ［変換］魔力15%⇒攻撃力,
ドレークサーベル,ユニーク,忘らるる金塊船 竜骨座,斬,攻撃力：650 魔防：300 命中：200 攻撃回数：5 致命打率：20.0 アイテムDROP率：4.0 オプション付与率：2.0 最低命中率：2.5,,
ケレヴの狂狼剣,ユニーク,罪人たちの楽園,斬,攻撃力：750 行動速度：350 致命打率：30.0 致命打威力：30.0 狂化攻撃：25.0 多段攻撃：25.0 火威力：15.0,リカントロピー ［変換］狂化攻撃5%⇒［倍率］攻撃力,
カメレオンファルシオン,ユニーク,スチームウォール,斬,攻撃力：100 命中：800 攻撃回数：4 致命打率：30.0 致命打威力：30.0 火耐性：10.0 水耐性：10.0 最低命中率：2.0,バックスタブ 必中攻撃,
虚像剣,ユニーク,禁足の風穴,斬,攻撃力：1 命中：200 回避：500 攻撃回数：1 暗闇攻撃：30.0 物理回避率：2.0 物理ブロック率：-10.0,テラー,虚像セット
バーサーカーソード,ユニーク,ドワーフの試練遺跡,斬,攻撃力：950 命中：200 攻撃回数：4 狂化攻撃：50.0 多段攻撃：20.0 狂化耐性：-50.0,バーサク 狂気乱舞,
漆黒の十字剣,ユニーク,篝火の鋼鉄霊廟,斬,攻撃力：800 命中：300 攻撃回数：3 貫通攻撃：25.0,断罪,
忠犬の禍剣,ユニーク,ドワーフの試練遺跡,斬,HP：500 攻撃力：800 防御力：600 魔防：300 命中：400 回避：200 物理ブロック率：2.0 支援発動率：4.0,遊撃体勢 エスコート ［上限］集中カウントLv.3,
零等星の占星剣,ユニーク,占星帝国ガガリオン,片手剣,攻撃力：600 魔力：1000 魔防：400 命中：400 攻撃回数：3,［上限］カウントLv.1 ［短縮］占星術クールダウンLv.1 ［変換］魔力15%⇒攻撃力,占星騎士セット
凶星騎士の暗黒剣,ユニーク,星崩しの古塔,片手剣,攻撃力：1000 防御力：400 魔力：600 命中：400 攻撃回数：3 毒攻撃：25.0 暗闇攻撃：25.0 毒威力：2.0,暗黒星雲 ［先制］カウントLv.1 ［変換］魔力15%⇒攻撃力,
死神の細剣,ユニーク,死神座,突,攻撃力：1000 魔力：800 攻撃回数：4 戦闘後全体回復：-10.0 呪い攻撃：50.0,［状態］呪い,
ざくろ石の剣,アーティファクト,初代王のピラミッド,斬,HP：150 攻撃力：250 魔力：180 命中：100 攻撃回数：2 火威力：70.0 睡眠耐性：-50.0,常夜,アキークセット
デュラハンソード,アーティファクト,天地逆転ピラミッド,斬,HP：-600 攻撃力：800 魔力：500 命中：300 攻撃回数：3 貫通攻撃：20.0 吸収：5.0 人型特攻：60.0 呪い耐性：-50.0,ブラッドブレード 憎悪 苦悶 絶望,
気まぐれな魔剣,アーティファクト,魔海域南端,斬,攻撃力：1 魔力：1 毒攻撃：30.0 麻痺攻撃：30.0 睡眠攻撃：30.0 呪い攻撃：30.0 混乱攻撃：30.0 沈黙攻撃：30.0 暗闇攻撃：30.0 最低命中率：4.0,［状態］呪い 毒攻撃Lv.1 麻痺攻撃Lv.1 睡眠攻撃Lv.1 呪い攻撃Lv.1 混乱攻撃Lv.1 沈黙攻撃Lv.1 暗闇攻撃Lv.1,
幻蒼剣,アーティファクト,地獄の門,斬,攻撃力：900 魔力：900 命中：300 攻撃回数：3 悪魔特攻：40.0 火威力：40.0 火耐性：25.0,ヘルファイア 幻蒼 ［短縮］火属性クールダウンLv.2,
虎徹,アーティファクト,無明の最深層,斬,攻撃力：900 命中：200 回避：400 敵対：-150.0 致命打率：40.0 致命打威力：50.0 多段攻撃：30.0 人型特攻：20.0 斬威力：25.0 再行動発動率：3.0,虎徹 ［無力］怒りカウント,
欲竜剣フロッティ,アーティファクト,暴かれた金鉱脈,突,攻撃力：800 命中：400 回避：400 攻撃回数：3 敵対：200.0 致命打率：10.0 致命打威力：60.0 貫通攻撃：35.0 多段攻撃：35.0 竜特攻：20.0 突威力：20.0 呪い耐性：-50.0 アイテムDROP率：3.0 オプション付与率：2.0 固定ダメージ：50.0,突き刺すもの 無尽の欲望 ［無力］斬 ［無力］壊 ［短縮］盗むクールダウンLv.2,
ティルフィング,アーティファクト,天地逆転ピラミッド,斬,HP：-2000 攻撃力：1500 魔力：800 命中：1500 攻撃回数：3 致命打率：30.0 致命打威力：20.0 多段攻撃：20.0 即死攻撃：10.0 吸収：-10.0 斬威力：20.0 アイテムDROP率：3.0 最低命中率：3.0,ティルフィング 勝利と破滅 ［状態］呪い 最低命中率Lv.5,
