名称,ランク,ドロップ,属性,基本性能,スキル,備考
グリムメイル,レア,死神座,,攻撃力：150 防御力：300 魔防：230 行動速度：-300 致命打威力：5.0 斬耐性：15.0 致命打率耐性：15.0 混乱耐性：25.0,［状態］呪い,グリムセット
灼熱ブリガンダイン,レア,燃える大海,,防御力：280 魔防：350 行動速度：-150 火威力：10.0 火耐性：25.0 水耐性：-25.0,［上限］火耐性Lv.3,
光壁鎧,レア,機工都市アルマニア,,防御力：400 魔防：400 行動速度：-200,光の障壁,
一等星の占星鎧,レア,フイユルージュワイナリー 占星帝国ガガリオン,,攻撃力：100 防御力：400 魔力：100 魔防：400 斬耐性：5.0 風耐性：5.0,［変換］魔力11%⇒攻撃力,占星騎士セット
暗黒星鎖鎧,レア,星崩しの古塔,,防御力：400 魔力：150 魔防：400 毒攻撃：20.0 暗闇攻撃：20.0 無威力：10.0 毒威力：1.0 斬耐性：5.0,［HP消費］無Lv.2 ［変換］魔力11%⇒攻撃力,
巨人の厚鎧,レア,楯座,,HP：250 防御力：250 魔防：200 行動速度：-420 火耐性：25.0 水耐性：25.0 致命打率耐性：15.0 反射ダメージ：150.0,物理障壁+1,
百足の鱗鎧,ユニーク,人食いの遺跡,,HP：100 防御力：40 魔防：20 行動速度：-100 火耐性：-30.0 麻痺耐性：25.0,,
リビングアーマー,ユニーク,アキーク王宮 初代王のピラミッド,,HP：-1000 防御力：190 魔防：150 行動速度：-400 毒耐性：20.0 睡眠耐性：15.0 呪い耐性：-50.0,,呪いセット
デュラハンメイル,ユニーク,天地逆転ピラミッド,,HP：-200 防御力：160 魔防：140 行動速度：-250 斬耐性：20.0,,デュラハンセット 真・デュラハンセット
サキュバスボンデージ,ユニーク,黙示録教団の大聖堂 夢魔座,,防御力：110 魔力：110 魔防：130 行動速度：-160 敵対：60.0 睡眠攻撃：20.0,,拘束セット
デーモンアーマー,ユニーク,丘の上の墓,,HP：-200 防御力：130 魔防：170 行動速度：-300 壊耐性：20.0 火耐性：15.0 呪い耐性：-30.0,,デーモンセット
ノームフルプレート,ユニーク,四大精霊の塔,,HP：880 防御力：300 魔防：240 回避：-300 行動速度：-300 自然回復：3.0 突耐性：20.0 地耐性：30.0 貫通耐性：15.0 致命打率耐性：25.0 石化耐性：25.0,［砂嵐］防御力+25% ［砂嵐］魔防+25% ［砂嵐］自然回復+10%,
ギュスターブスケイルメイル,ユニーク,インサイドビーチ,,HP：500 攻撃力：190 防御力：380 魔防：280 行動速度：-300 貫通攻撃：10.0 斬耐性：15.0 突耐性：15.0 水耐性：15.0 貫通耐性：15.0 拡散耐性：15.0,,
死霊騎士の甲冑,ユニーク,消えずの灯台 No.13,,攻撃力：200 防御力：450 魔防：300 回避：-300 行動速度：-200 致命打率：15.0 斬耐性：10.0,,
雷竜の鎧,ユニーク,抜け落ちた海 雷竜座,,防御力：280 魔防：200 回避：150 行動速度：150 雷威力：10.0 雷耐性：20.0 睡眠耐性：15.0 暗闇耐性：15.0,,雷竜セット
サキュバスクイーンボンデージ,ユニーク,夢魔座,,防御力：200 魔力：250 魔防：200 行動速度：-300 敵対：250.0 睡眠攻撃：35.0 混乱攻撃：35.0 吸収：3.0 混乱耐性：25.0,,
バッファローブースター,ユニーク,約束された凪,,攻撃力：100 防御力：300 魔防：200 行動速度：200 拡散攻撃：5.0 壊威力：10.0 水耐性：10.0 雷耐性：-15.0,加速 ［変換］壊威力20%⇒［倍率］行動速度,
レアメタルメイル,ユニーク,機械トロッコ坑道,,防御力：1000 魔防：-1000 行動速度：-500 斬耐性：15.0 突耐性：15.0 壊耐性：15.0 貫通耐性：20.0 拡散耐性：20.0,［上限］物理耐性Lv.5 ［×1/2］裂傷 ［倍率］魔防-70%,上流セット
化石の庇護,ユニーク,無明の最深層,,HP：500 防御力：600 魔防：500 回避：-1000 行動速度：-500 斬耐性：10.0 突耐性：10.0 壊耐性：10.0 水耐性：-10.0 地耐性：10.0 致命打率耐性：20.0 反射ダメージ：100.0,化石の庇護 ［状態］石化,
ミラーアーマー,ユニーク,ドワーフの試練遺跡,,HP：500 防御力：100 魔防：1000 行動速度：-300 拡散耐性：-40.0 呪い耐性：25.0 石化耐性：25.0 反射ダメージ：250.0,魔法耐性Lv.2,
巌窟王の鎧,ユニーク,月影の巌窟島,,HP：300 攻撃力：100 防御力：300 魔防：300 行動速度：-350 斬耐性：10.0 致命打率耐性：15.0 混乱耐性：10.0 石化耐性：10.0 反撃発動率：3.0,,巌窟王セット
インフェルノメイル,ユニーク,燃える大海,,HP：-400 防御力：500 魔力：100 魔防：500 自然回復：-8.0 火威力：10.0 雷威力：10.0 火耐性：-25.0,業火 マッドマックス ［HP消費］火Lv.2,道連れセット
漆黒の鎧,ユニーク,篝火の鋼鉄霊廟,,攻撃力：100 防御力：300 魔力：100 魔防：300 人型特攻：15.0 幻神特攻：-10.0 壊耐性：10.0 貫通耐性：10.0 即死耐性：10.0,,漆黒セット
地竜の鎧,ユニーク,地竜の花畑 地竜座,,HP：350 防御力：550 魔防：450 行動速度：-500 幻神特攻：10.0 地威力：10.0 斬耐性：10.0 突耐性：10.0 壊耐性：10.0 地耐性：20.0 致命打率耐性：10.0,［上限］忍耐カウントLv.1,地竜セット
ファフニールの鱗鎧,ユニーク,暴かれた金鉱脈,,HP：500 防御力：650 魔防：500 毒攻撃：25.0 暗闇攻撃：25.0 毒威力：1.0 斬耐性：10.0 突耐性：10.0 壊耐性：10.0,毒鱗 ［状態］毒,ファフニールセット
フルフルフルプレート,ユニーク,いかずち大海溝,,防御力：400 魔力：200 魔防：500 麻痺攻撃：25.0 雷威力：10.0 雷耐性：10.0 麻痺耐性：-15.0 潜在性：5.0,放電 ［HP消費］雷Lv.3,フルフルフルセット
アルティマイトアーマー,ユニーク,ワールズエンドクレーター,,HP：300 防御力：350 魔防：350 ブレス威力：15.0 斬耐性：10.0 火耐性：10.0 水耐性：10.0 致命打率耐性：10.0 オプション付与率：1.5,,アルティマイトセット
聖騎士の鎧,ユニーク,天地逆転ピラミッド,,HP：200 攻撃力：100 防御力：320 魔力：100 魔防：280 行動速度：-100 火耐性：5.0 水耐性：5.0 風耐性：5.0 地耐性：5.0 雷耐性：5.0,先制オーダー 退魔Lv.3,聖騎士セット
狂戦士の甲冑,アーティファクト,コロシアム・本戦決勝,,HP：-1000 攻撃力：220 防御力：480 魔防：350 回避：-300 行動速度：-200 致命打率：15.0 致命打威力：10.0 吸収：2.0 呪い耐性：-50.0 狂化耐性：-50.0,バーサク 狂乱 ［状態］呪い,怒りセット
黄金鹿のフルプレート,アーティファクト,竜骨座,,HP：500 防御力：500 魔力：200 魔防：400 回避：-1000 召喚枠：3.0 呪い攻撃：15.0 雷威力：10.0 壊耐性：10.0 水耐性：10.0 致命打率耐性：10.0 アイテムDROP率：2.0 固定ダメージ：70.0,［上限］水耐性Lv.2 ［サモン］支援発動率Lv.1,
