名称,ランク,ドロップ,属性,基本性能,スキル,備考
大岩亀重剣,ユニーク,魔海域北東部,斬,攻撃力：1500 防御力：1000 命中：-500 回避：-1000 行動速度：-2000 攻撃回数：-30 地耐性：10.0 固定ダメージ：250.0 最低命中率：-8.0 物理ブロック率：3.0,重撃 ［行動制限］偶数ターン,
リュウグウノツカイ,ユニーク,ディープシーケイブ,斬,攻撃力：900 魔力：200 魔防：400 貫通攻撃：30.0 水威力：30.0 火耐性：10.0 水耐性：15.0,ドラゴンツイスター ［発動］ドラゴンツイスター,
イマジナリーヘブン,ユニーク,スチームウォール,斬,攻撃力：900 魔力：250 攻撃回数：-3 呪い攻撃：30.0 屍攻撃：30.0 不死特攻：25.0 蘇生成功率：3.0,［発動］ゴーストジェイル,
ガーディアンブレイド,ユニーク,海底神殿,斬,HP：600 攻撃力：1000 防御力：800 魔防：400 攻撃回数：-10 拡散耐性：50.0,,
シップシンカー,ユニーク,黒鯨の巣,斬,攻撃力：2000 命中：-300 行動速度：-2000 攻撃回数：-40 致命打威力：20.0 拡散攻撃：35.0 最低命中率：-5.0,重撃 ［行動制限］奇数ターン 拡散攻撃Lv.3,
スカルコレクター,ユニーク,監獄迷宮,斬,攻撃力：1000 攻撃回数：-2 致命打率：30.0 致命打威力：25.0 魔獣特攻：20.0 地耐性：10.0 アイテムDROP率：2.0,スカルコレクター,
大爆発ブレイド,ユニーク,逆流溶岩道,斬,攻撃力：900 命中：-300 攻撃回数：-5 拡散攻撃：50.0 火威力：20.0 ブレス威力：20.0 水耐性：-25.0 拡散耐性：-50.0,［発動］自爆,
シーシュポスの大剣,ユニーク,手枷座,斬,HP：800 攻撃力：2500 命中：-1000 行動速度：-2500 攻撃回数：-20 拡散攻撃：30.0 幻神特攻：80.0 地耐性：15.0 最低命中率：-10.0 物理ブロック率：3.0,削岩撃 重撃 ［状態］停止 神殺しLv.5,
夢遊の鉄剣,ユニーク,クリスタル峡谷,斬,攻撃力：1200 命中：100 攻撃回数：-3 睡眠耐性：-50.0 夜間命中：10.0 夜間回避：10.0,夢遊,
ウルカンチェンソー,ユニーク,隠し砦ラスタルファ,斬,HP：500 攻撃力：2200 防御力：500 攻撃回数：-5 即死攻撃：50.0 幻神特攻：30.0 機械特攻：30.0 斬威力：10.0 火威力：10.0,オーバーヒートLv.3 ［反動］斬Lv.1,
風と猟犬の騎士剣,ユニーク,フイユルージュワイナリー,斬,攻撃力：1250 魔力：900 回避：500 行動速度：500 致命打威力：20.0 斬威力：20.0 風威力：20.0,吼風 ［突風］攻撃力+20%,風と猟犬セット
サラマンドラ,アーティファクト,四大精霊の塔,斬,攻撃力：1000 防御力：200 魔力：500 攻撃回数：-7 火威力：50.0 火耐性：25.0 睡眠耐性：50.0,［無力］水 ［無力］地 ［無力］風 ［無力］雷 ［変換］水威力25%⇒火威力 ［変換］風威力25%⇒火威力 ［変換］地威力25%⇒火威力 ［変換］雷威力25%⇒火威力,
レジェンドファーマーホー,アーティファクト,コロシアム・本戦第一試合,壊,HP：400 攻撃力：1000 命中：300 攻撃回数：-7 拡散攻撃：50.0 アイテムDROP率：2.0,［無効］睡眠,
グランドドロッパー,アーティファクト,地竜の花畑 地竜座,斬,HP：500 攻撃力：1700 防御力：500 命中：500 攻撃回数：-10 幻神特攻：40.0 地威力：50.0 地耐性：25.0 最低命中率：3.0,重力 地堕 ［短縮］地属性クールダウンLv.2 ［変換］地威力5%⇒［倍率］攻撃力 ［重力］攻撃力+25%,
バイツァダスト,アーティファクト,無明の最深層,斬,攻撃力：1300 命中：300 行動速度：300 攻撃回数：-5 自然回復：3.0 ブレス威力：15.0 蘇生成功率：5.0,バイツァダスト,
デザートフロンティア,アーティファクト,初代王のピラミッド,斬,HP：1000 攻撃力：1500 防御力：500 魔防：500 命中：200 攻撃回数：-10 地耐性：25.0 アイテムDROP率：3.0,フロンティアスピリット ［無効］混乱 ［砂嵐］攻撃力+25% ［砂嵐］防御力+15% ［砂嵐］魔防+15%,フロンティアセット
