名称,ランク,ドロップ,属性,基本性能,スキル,備考
アジュールガントレット,レア,海上騎士団管轄海域,,防御力：75 命中：550 攻撃回数：2 不死特攻：10.0 混乱耐性：20.0,,アジュールセット
ソルトファーマーグローブ,レア,コロシアム・本戦第一試合,,HP：200 防御力：50 命中：460 攻撃回数：2 最低命中率：1.0,,ソルトファーマーセット
ドレークバングル,レア,忘らるる金塊船 竜骨座,,攻撃力：100 防御力：80 魔防：80 命中：350 攻撃回数：5 解錠：30.0 オプション付与率：1.0 固定ダメージ：15.0,,ドレークセット
ルミナスの腕当て,レア,ソルトルート,,防御力：60 魔力：100 魔防：90 命中：300 攻撃回数：2 敵対：200.0 暗闇耐性：10.0,発光,
深海の支配者,レア,ディープシーケイブ,,HP：500 命中：250 暗闇攻撃：20.0 水威力：15.0 水耐性：20.0,［水中］攻撃力+15%,深海セット
空腹の腕輪,レア,プリズナーズライン,,HP：-200 攻撃力：80 防御力：50 命中：150 吸収：2.0 狂化耐性：-20.0,［変換］吸収50%⇒［倍率］命中,
サメハダグローブ,レア,スチームウォール,,攻撃力：120 防御力：50 攻撃回数：4 格闘：2.0 水耐性：10.0 反射ダメージ：60.0,サメハダ,
抑魔の手錠,レア,監獄迷宮,,魔力：-500 魔防：300 回避：-500 行動速度：-500 攻撃回数：-10 自然回復：2.0,［無効］毒 ［無効］麻痺 ［上限］忍耐カウントLv.2 ［先制］忍耐カウントLv.2 ［倍率］魔力-50%,
贄血の腕輪,レア,贖罪の双子塔,,HP：500 防御力：50 吸収：-3.0 貫通耐性：15.0 拡散耐性：15.0 即死耐性：15.0 呪い耐性：15.0,ブラッドオファリング,流血セット
オットセイガントレット,レア,竜巻諸島,,HP：80 防御力：80 命中：400 攻撃回数：2 拡散攻撃：5.0 魔獣特攻：10.0 火耐性：5.0 水耐性：10.0,王者の貫禄,海獣王セット
鉱員の軍手,レア,機械トロッコ坑道,,防御力：30 命中：200 攻撃回数：1 アイテムDROP率：1.0 オプション付与率：0.5,,坑道セット
マジックアームズ,レア,機工都市アルマニア ワールズエンドクレーター,,防御力：50 命中：200 攻撃回数：1 支援発動率：1.0,攻撃距離上昇Lv.1,
鍛冶職人のミトン,レア,ドワーフの試練遺跡,,防御力：60 魔防：60 命中：200 火耐性：15.0,［上限］火耐性Lv.1 ［上限］火耐性Lv.2,
浄化する腕輪,レア,暴かれた金鉱脈,,防御力：50 魔防：100 自然回復：1.0 毒耐性：50.0 呪い耐性：50.0 屍耐性：50.0 石化耐性：50.0,キュア,
開拓者のブレスレット,レア,古代の水葬場,,攻撃力：50 防御力：50 魔防：50 命中：50 即死耐性：10.0,開拓者,フロンティアセット
風と猟犬の腕当て,レア,フイユルージュワイナリー,,防御力：50 魔力：70 魔防：50 命中：250 行動速度：100 攻撃回数：2 斬威力：5.0 風威力：5.0,ウインドカッター,風と猟犬の腕当て
マミーハンド,ユニーク,アキーク王宮 初代王のピラミッド,,防御力：30 命中：200 攻撃回数：1 呪い攻撃：10.0 吸収：2.0 火耐性：-30.0,,吸血セット
パワーグローブ,ユニーク,教会への裏参道 コロシアム・本戦決勝 隠し砦ラスタルファ,,攻撃力：150 防御力：40 命中：250,豪腕,
デュラハンガントレット,ユニーク,天地逆転ピラミッド,,HP：-100 防御力：55 命中：400 攻撃回数：4,,デュラハンセット 真・デュラハンセット
デーモンガントレット,ユニーク,天地逆転ピラミッド,,HP：-200 防御力：60 命中：300 攻撃回数：4 火耐性：15.0,,デーモンセット
カエルのぷにゅぷにゅ,ユニーク,シークレットトンネル,,防御力：20 命中：250 攻撃回数：3 敵対：100.0 拡散耐性：20.0 物理ブロック率：1.0,継続戦闘Lv.3,
林檎と蛇の腕輪,ユニーク,コロシアム・本戦決勝,,防御力：30 魔力：150 魔防：80 命中：150 攻撃回数：2 魔獣特攻：5.0 幻神特攻：15.0 オプション付与率：1.0,,
雷竜の腕当て,ユニーク,抜け落ちた海 雷竜座,,防御力：130 命中：480 回避：150 攻撃回数：3 雷威力：10.0 壊耐性：10.0 雷耐性：10.0 アイテムDROP率：1.0 最低命中率：0.5,,雷竜セット
略奪者のリスト,ユニーク,忘らるる金塊船,,HP：150 防御力：30 命中：300 攻撃回数：4 アイテムDROP率：3.0,怪盗乱磨,
ナルカミ,ユニーク,抜け落ちた海,,防御力：100 命中：520 回避：150 攻撃回数：5 格闘：3.0 斬威力：10.0,［落雷］攻撃力+8% ［落雷］魔力+8%,召雷セット
ダブルスターアームズ,ユニーク,ディープシーケイブ,,防御力：40 命中：300 行動速度：150 攻撃回数：2 格闘：2.0,［倍率］攻撃回数+100%,ダブルスターセット バイナリーセット
千年刑の手錠,ユニーク,監獄迷宮,,攻撃力：200 防御力：-500 魔力：200 魔防：-500 攻撃回数：-20 即死耐性：15.0,［状態］停止 ［上限］忍耐カウントLv.3 ［先制］忍耐カウントLv.3,拘束セット
ケイローンブレイサー,ユニーク,射手座,,防御力：100 魔力：70 魔防：100 命中：500 攻撃回数：2 致命打率：20.0 貫通攻撃：10.0 魔獣特攻：15.0 固定ダメージ：10.0 最低命中率：1.5 支援発動率：2.0 反撃無効化率：10.0,,
ミスティスティーラー,ユニーク,月影の巌窟島,,防御力：30 命中：300 回避：150 攻撃回数：3 解錠：40.0 致命打率：10.0 アイテムDROP率：2.0 最低命中率：2.0,見えざる手,霧隠れセット
ダムレイの重籠手,ユニーク,罪人たちの楽園,,攻撃力：100 防御力：150 命中：200 行動速度：-400 石化攻撃：10.0 拡散攻撃：10.0 地威力：10.0 地耐性：10.0 石化耐性：10.0,［変換］石化攻撃12%⇒［倍率］防御力 ［変換］石化攻撃12%⇒［倍率］命中,
イフリートガントレット,ユニーク,地獄の門,,攻撃力：70 防御力：80 命中：300 攻撃回数：2 格闘：3.0 火威力：10.0 火耐性：10.0 格闘発動率：0.5,燃え盛る拳 ［変換］火威力5%⇒［倍率］攻撃力,
機械技師の革手袋,ユニーク,機械技師ヴァーニアの識界,,防御力：50 魔防：50 命中：250 解錠：50.0 トラップ数：1.0,［短縮］罠クールダウンLv.1,慈悲セット
レイズガントレット,ユニーク,奇跡の源泉,,防御力：40 魔力：100 魔防：100 不死特攻：20.0 水耐性：10.0,レイズ ［短縮］蘇生クールダウンLv.1,
マーシャルアクセラレーター,ユニーク,隠し砦ラスタルファ,,攻撃力：50 防御力：50 攻撃回数：3 格闘：3.0 壊威力：5.0 雷耐性：-10.0 格闘発動率：1.0,マーシャルアクセラレート,
虎穴の籠手,ユニーク,無明の最深層,,攻撃力：80 防御力：50 命中：200 回避：100 攻撃回数：3 ブレス回避率：2.0 再行動発動率：2.0,虎穴虎子,穴セット
初代王の腕輪,ユニーク,初代王のピラミッド,,防御力：80 魔防：70 命中：300 攻撃回数：3 地耐性：10.0 オプション付与率：1.0 反射ダメージ：60.0,［PT］DROP率+5 ［砂嵐］魔防+10%,
聖騎士の腕当て,ユニーク,天地逆転ピラミッド,,HP：100 攻撃力：50 防御力：80 魔力：50 魔防：80 命中：500 攻撃回数：4 不死特攻：10.0 斬耐性：10.0 狂化耐性：20.0 オプション付与率：1.5,,聖騎士セット
フォビドゥンアームズ,ユニーク,禁足の風穴,,攻撃力：-500 攻撃回数：-10,［HP消費］斬Lv.1,虚像セット
漆黒の腕当て,ユニーク,篝火の鋼鉄霊廟,,攻撃力：80 防御力：100 魔力：80 魔防：100 命中：200 人型特攻：10.0 幻神特攻：-5.0 突威力：10.0,,漆黒セット
地竜の腕当て,ユニーク,地竜の花畑 地竜座,,防御力：200 命中：300 攻撃回数：2 幻神特攻：5.0 地威力：10.0 斬耐性：5.0 突耐性：5.0 壊耐性：5.0 地耐性：10.0 アイテムDROP率：1.0,,地竜セット
アルティマイトガントレット,ユニーク,ワールズエンドクレーター,,防御力：150 魔防：150 命中：250 ブレス威力：7.5 壊耐性：5.0 拡散耐性：15.0 アイテムDROP率：1.0,,アルティマイトセット
コル・レオニス,ユニーク,占星帝国ガガリオン,,防御力：50 魔力：100 魔防：100 命中：200 召喚枠：1.0 風威力：10.0 壊耐性：15.0 火耐性：15.0,［サモン］星獅子デネボラ,
諦念のガントレット,ユニーク,星崩しの古塔,,防御力：150 魔力：150 魔防：100 命中：300 暗闇攻撃：25.0 無威力：7.0 突耐性：5.0 壊耐性：5.0 火耐性：5.0 暗闇耐性：-25.0,闇夜の慟哭 ［状態］暗闇,
虚空の腕当て,アーティファクト,丘の上の墓,,攻撃力：100 防御力：60 魔力：100 命中：300 攻撃回数：2 無威力：10.0,ブラックスフィア ［短縮］無属性クールダウンLv.1,トウホセット
愛のブレスレット,アーティファクト,吟遊詩人ヒュルドの識界,,防御力：80 魔力：120 魔防：160 命中：350 回避：150 攻撃回数：3 睡眠攻撃：20.0 混乱耐性：20.0 オプション付与率：1.0 魔法回避率：2.0,フェザータッチ ［無効］暗闇,愛セット
シーシュポスの手枷,アーティファクト,手枷座,,HP：400 攻撃力：200 防御力：150 魔防：100 行動速度：-800 麻痺攻撃：15.0 停止攻撃：15.0 幻神特攻：25.0 斬耐性：10.0 突耐性：10.0 壊耐性：10.0,神の手枷 ［状態］麻痺 ［状態］停止 ［無効］屍 ［無効］即死 ［上限］忍耐カウントLv.1,
ゴールデンドリーマー,アーティファクト,黄金座,,HP：-1000 攻撃力：-500 魔力：-500 命中：300 解錠：200.0 敵対：400.0 致命打率：10.0 致命打威力：20.0 アイテムDROP率：2.0 オプション付与率：2.0,ゴールデンドリーム ［倍率］HP-95% ［倍率］攻撃力-95% ［倍率］魔力-95% ［変換］オプション付与率100%⇒致命打威力,
