名称,ランク,ドロップ,属性,基本性能,スキル,備考
ピンクコーラル,ユニーク,星拾いの珊瑚島,,HP：200 魔防：250 獲得経験値：15.0 混乱耐性：15.0 暗闇耐性：25.0 狂化耐性：15.0,,
モスアゲート,ユニーク,魔海域北東部,,HP：600 防御力：250 魔防：250 回避：-500 自然回復：3.0 地威力：10.0 水耐性：15.0 屍耐性：15.0 物理ブロック率：1.5,［上限］忍耐カウントLv.1,
フルグライト,ユニーク,抜け落ちた海 雷竜座,,回避：200 行動速度：150 雷威力：15.0 雷耐性：15.0 暗闇耐性：15.0 昼間回避：5.0 夜間回避：5.0,［反動］雷Lv.1 ［上限］雷耐性Lv.1,召雷セット
ライトニングクォーツ,ユニーク,抜け落ちた海 雷竜座,,HP：200 回避：250 行動速度：200 雷威力：15.0 雷耐性：20.0 暗闇耐性：20.0 昼間回避：7.0 夜間回避：7.0,［発動］ライトニング,
ライトブルーコーラル,ユニーク,星拾いの珊瑚島,,HP：250 防御力：200 魔防：200 混乱耐性：25.0 暗闇耐性：25.0 石化耐性：-30.0 狂化耐性：15.0 最低命中率：0.5,［PT］探索時間-10%,
勇気のカケラ,ユニーク,星拾いの珊瑚島,,HP：200 攻撃力：80 致命打率：10.0 致命打威力：5.0 格闘：1.0,,フロンティアセット
鉄人形の核,ユニーク,コロシアム・本戦決勝,,防御力：200 魔力：80 拡散耐性：10.0 致命打率耐性：15.0 石化耐性：15.0,［サモン］アイアンゴーレム,
イフリートの炎珠,ユニーク,地獄の門,,攻撃力：100 解錠：30.0 火威力：10.0 火耐性：25.0,発光 ［属性］火 ［変換］火威力5%⇒［倍率］魔防,監獄卿セット
ヴォイドハート,ユニーク,月影の巌窟島,,命中：200 狂化耐性：25.0 最低命中率：1.0,ヴォイドハート ［無効］混乱,穴セット
フルメタルアントエッグ,ユニーク,機工都市アルマニア,,HP：200 斬耐性：10.0 突耐性：10.0 地耐性：10.0,［サモン］フルメタルアント,
巨岩のカケラ,ユニーク,手枷座,,HP：150 回避：-500 行動速度：-500 幻神特攻：10.0 斬耐性：5.0 突耐性：5.0 壊耐性：5.0 地耐性：15.0 致命打率耐性：10.0,シーシュポスの岩片 ［倍率］HP+15% ［倍率］行動速度-65%,
アンチオリハルコン,ユニーク,暴かれた金鉱脈,,命中：250 機械特攻：20.0 アイテムDROP率：1.0 最低命中率：1.0,［無効］オリハルコン,
カマソッソの瞳,ユニーク,蝙蝠座,,回避：200 混乱攻撃：20.0 即死攻撃：5.0 吸収：2.0 昼間命中：-15.0 夜間命中：15.0 再行動発動率：2.0,暗視 ［変換］吸収100%⇒［倍率］命中,
フルフルフルグライト,ユニーク,いかずち大海溝,,魔力：150 魔防：150 麻痺攻撃：10.0 雷威力：10.0 雷耐性：10.0 麻痺耐性：-20.0 潜在性：5.0,スタティックチャージ ［HP消費］雷Lv.1,フルフルフルセット
カルキノスハート,ユニーク,蟹座,,攻撃力：80 命中：150 致命打威力：8.0 物理ブロック率：2.5 魔法ブロック率：2.5 ブレスブロック率：2.5 支援発動率：1.0,勇気と無謀 レルネーの盟友（蟹座） ［変換］攻撃力20%⇒防御力,
風竜の卵,アーティファクト,風竜の爪痕,,HP：200 魔力：100 風威力：10.0 風耐性：20.0,,エッグセット 突風セット
ゴブリンの涙,アーティファクト,修練の洞窟 ゴブリンの洞窟 機械トロッコ坑道,,人型特攻：35.0 アイテムDROP率：1.5,,
ユニコーンの角片,アーティファクト,ユニコーンフォレスト,,解錠：35.0 敵対：-50.0 即死耐性：50.0 毒耐性：100.0 呪い耐性：50.0 混乱耐性：50.0,,森の導きセット
流砂の核,アーティファクト,初代王のピラミッド,,魔力：100 地威力：15.0 地耐性：25.0,砂嵐 ［砂嵐］魔力+10%,
暴君の心臓,アーティファクト,いにしえの原生林,,HP：300 攻撃力：150 攻撃回数：4 自然回復：2.0 ブレス威力：15.0 睡眠耐性：-50.0 再行動発動率：2.5,タイラントビート ［無効］混乱,
聖血晶,アーティファクト,丘の上の墓,,魔力：150 魔防：150 毒耐性：50.0 呪い耐性：100.0 停止耐性：15.0 アイテムDROP率：2.0 オプション付与率：1.5,,
合成獣の卵,アーティファクト,コロシアム・予選 監獄迷宮,,HP：150 ブレス威力：10.0 火耐性：5.0 水耐性：5.0 風耐性：5.0,［サモン］キマイラベイビー,
ブループラネット,アーティファクト,忘らるる金塊船 竜骨座,,HP：500 魔力：120 自然回復：2.5 水威力：15.0 水耐性：15.0 暗闇耐性：15.0 潜在性：3.0,［倍率］HP+35%,
フェニックスエッグ,アーティファクト,不死鳥座,,HP：500 魔力：150 魔防：150 幻神特攻：10.0 オプション付与率：2.0 蘇生成功率：3.0,聖なる加護 ［無効］呪い ［変換］火威力15%⇒［倍率］防御力 ［変換］火威力15%⇒［倍率］魔防,
オリハルコン《牛》,アーティファクト,約束された凪,,吸収：5.0 壊威力：15.0 水威力：10.0 水耐性：10.0 狂化耐性：-20.0 反撃発動率：1.0,暴牛 闘牛 オリハルコンの核 ［変換］反撃発動率50%⇒壊威力,
オリハルコン《羊》,アーティファクト,クリスタル峡谷,,防御：200 魔防：200 睡眠攻撃：15.0 雷威力：15.0 雷耐性：15.0 睡眠耐性：-25.0,眠る 眠羊 夢醒める力 オリハルコンの核,
オリハルコン《兎》,アーティファクト,レッドコースト,,回避：250 行動速度：250 混乱耐性：-50.0 固定ダメージ：50.0 物理回避率：1.0 魔法回避率：1.0 ブレス回避率：1.0,スカイハイ 跳兎 オリハルコンの核,
オリハルコン《蛇》,アーティファクト,機工都市アルマニア,,毒攻撃：25.0 ブレス威力：10.0 毒威力：2.0 毒耐性：-50.0 反撃発動率：3.0,藪蛇 毒蛇 オリハルコンの核 ［自動］瘴気 ［状態］毒,
オリハルコン《人》,アーティファクト,篝火の鋼鉄霊廟,,攻撃力：50 防御力：50 魔力：50 魔防：50 人型特攻：10.0,万能 偽人 オリハルコンの核,漆黒セット
オリハルコン《馬》,アーティファクト,地竜の森,,行動速度：500 屍攻撃：10.0 突威力：10.0 風威力：10.0 突耐性：-25.0 潜在性：5.0,駿馬 スリップストリーム オリハルコンの核 ［先制］集中カウントLv.1,
オリハルコン《竜》のカケラ,アーティファクト,ワールズエンドクレーター,,攻撃力：130 魔力：130 ブレス威力：15.0,覇竜 オリハルコンの核 ［反動］無Lv.5,
オリハルコン《虎》,アーティファクト,無明の最深層,,攻撃力：150 致命打率：10.0 致命打威力：5.0 蘇生成功率：3.0,虎威 恐虎 オリハルコンの核,
オリハルコン《鳥》,アーティファクト,禁足の風穴,,攻撃力：100 命中：100 回避：100 行動速度：200 麻痺攻撃：10.0 格闘：2.0,ヘルダイブ ジャンプ攻撃 烈鳥 オリハルコンの核,
オリハルコン《猿》,アーティファクト,奇跡の源泉,,防御力：150 回避：150 解錠：40.0 トラップ数：3.0,智猿 モンキーマインド オリハルコンの核,
オリハルコン《犬》,アーティファクト,ドワーフの試練遺跡,,HP：150 防御力：100 魔防：100 混乱耐性：15.0 狂化耐性：15.0 支援発動率：2.0,ロイヤルハート 忠犬 オリハルコンの核,
オリハルコン《猪》,アーティファクト,地竜の森,,HP：400 自然回復：2.0 突威力：5.0 壊威力：5.0 斬耐性：5.0 混乱耐性：-15.0,勇猪 オリハルコンの核 タフネス ［×2］反動ダメージ,
オリハルコン《鼠》,アーティファクト,地底大水脈,,命中：100 回避：250 敵対：-100.0 反撃無効化率：15.0,狡猾 窃鼠 オリハルコンの核,
ファーストガーネット,アーティファクト,初代王のピラミッド,,HP：300 防御力：100 自然回復：2.0 火威力：15.0 火耐性：20.0 混乱耐性：40.0,切り込み隊長 初太刀 ［上限］忍耐カウントLv.3 ［砂嵐］HP+10% ［砂嵐］火威力+40%,
リヴァイアサンの逆鱗,アーティファクト,リヴァイアサンの胃袋,,攻撃力：150 魔力：150 水威力：10.0 ブレス威力：10.0 狂化耐性：-15.0,荒れ狂う大海 ［先制］怒りカウントLv.2 ［水中］攻撃力+20%,
一番星のペリドット,アーティファクト,占星帝国ガガリオン,,魔力：100 魔防：100 命中：100 風威力：10.0 風耐性：10.0 沈黙耐性：20.0 暗闇耐性：20.0,一番星 ［上限］風耐性Lv.1 ［突風］魔力+11%,占星帝セット
凶星帝のオーブ,アーティファクト,星崩しの古塔,,魔力：200 命中：200 回避：200 呪い攻撃：25.0 吸収：3.0 無威力：7.0 呪い耐性：-25.0 夜間命中：10.0 夜間回避：10.0,星の終焉 ［状態］呪い ［HP消費］無Lv.3 ［上限］怒りカウントLv.2,
イフリートの蒼炎珠,アーティファクト,地獄の門,,攻撃力：150 解錠：40.0 火威力：15.0 火耐性：20.0 オプション付与率：1.0,灼熱 発光 蒼炎 ［属性］火,
