名称,ランク,ドロップ,属性,基本性能,スキル,備考
巨蟹のマジックハンド,ユニーク,魔海域南端 蟹座,斬,攻撃力：500 命中：250 攻撃回数：3 自然回復：3.0 致命打率：40.0 貫通攻撃：20.0 多段攻撃：20.0 水威力：30.0 火耐性：15.0,,
シーサーペントハープーン,ユニーク,ディープシーケイブ,斬,攻撃力：680 致命打率：25.0 致命打威力：30.0 貫通攻撃：40.0,［水中］命中+20%,
ガーゴイルの十字槍,ユニーク,消えずの灯台 No.13,突,攻撃力：600 防御力：300 命中：150 貫通攻撃：30.0 幻神特攻：20.0 風耐性：10.0 石化耐性：-15.0 固定ダメージ：40.0 反撃発動率：1.5,石化攻撃Lv.2 物理耐性Lv.1,
ヘルズゲート,ユニーク,地獄の門,突,攻撃力：750 命中：400 貫通攻撃：35.0 悪魔特攻：40.0 ブレス威力：30.0 火耐性：20.0 拡散耐性：15.0 停止耐性：20.0,［発動］ヘルズゲート ［灼熱］攻撃力+20%,
ストップランス,ユニーク,機工都市アルマニア,突,攻撃力：600 命中：400 攻撃回数：-5 致命打威力：20.0 停止攻撃：40.0 貫通攻撃：30.0,ストップクリティカル ［状態］停止,
アテナの守護槍,ユニーク,楯座,突,HP：800 攻撃力：5 防御力：500 魔防：500 斬耐性：10.0 突耐性：10.0 壊耐性：10.0 貫通耐性：25.0 拡散耐性：25.0 反射ダメージ：850.0,パラディオン 物理ブロック率Lv.5 ［倍率］防御力+15%,
ワントリックポニー,ユニーク,地竜の森,突,攻撃力：500 命中：400 攻撃回数：3 獲得経験値：10.0 貫通攻撃：50.0 潜在性：20.0,ワントリックポニー ［無力］斬 ［無力］壊,
クリスタルピアサー,ユニーク,水晶座,突,攻撃力：400 魔防：250 命中：400 攻撃回数：3 貫通攻撃：30.0 突威力：15.0 固定ダメージ：100.0 反射ダメージ：200.0,反射返し,
猪突の牙槍,ユニーク,地竜の森,突,HP：500 攻撃力：800 防御力：400 魔防：400 回避：-500 行動速度：300 貫通攻撃：20.0 突威力：10.0 壊威力：10.0,猛突 ［反動］突Lv.1 ［反動］壊Lv.1,
ウェパルの霊槍,ユニーク,古代の水葬場,突,攻撃力：600 魔力：800 命中：400 屍攻撃：25.0 不死特攻：20.0 水威力：10.0 水耐性：15.0,ソウルバンケット,
ライラプスの飛槍,ユニーク,猟犬座,突,攻撃力：400 命中：800 回避：400 行動速度：400 風威力：10.0 最低命中率：2.0 支援発動率：2.0,猟犬の双牙 猟犬の本能,
ユニコーンランス,アーティファクト,ユニコーンフォレスト,突,HP：300 攻撃力：460 魔力：370 魔防：250 攻撃回数：-4 毒攻撃：-300 貫通攻撃：30.0 悪魔特攻：60.0 毒耐性：50.0 呪い耐性：50.0,,
ドラゴンリベンジャー,アーティファクト,コロシアム・本戦準決勝,突,HP：300 攻撃力：650 致命打威力：15.0 貫通攻撃：35.0 竜特攻：40.0 火耐性：10.0 水耐性：10.0 雷耐性：10.0,逆鱗 竜狩りLv.2,豪運セット
愛憎の鞭,アーティファクト,夢魔座,壊,攻撃力：650 魔力：600 睡眠攻撃：40.0 混乱攻撃：40.0 貫通攻撃：30.0 吸収：7.0 格闘：10.0 魔獣特攻：40.0,愛憎 ［変換］敵対5%⇒［倍率］攻撃力 ［変換］敵対5%⇒［倍率］命中,
ユグドラシルの枝,アーティファクト,吊し人座,突,HP：2000 攻撃力：650 魔力：500 魔防：250 解錠：30.0 自然回復力：5.0 幻神特攻：30.0 地威力：30.0 アイテムDROP率：3.0,生物の知識 生命の脈動 ［無効］停止 最低命中率Lv.3 ［上限］物理耐性Lv.3 ［上限］魔法耐性Lv.3 ［上限］集中カウントLv.3,
レクス・タリオニス,アーティファクト,月影の巌窟島,突,HP：1200 攻撃力：850 防御力：300 魔防：300 命中：450 攻撃回数：2 貫通攻撃：40.0 貫通耐性：20.0 致命打率耐性：20.0 混乱耐性：15.0 狂化耐性：15.0 固定ダメージ：70.0 蘇生成功率：5.0 反撃発動率：5.0,レクス・タリオニス ［上限］怒りカウントLv.3,
