名称,ランク,ドロップ,属性,基本性能,スキル,備考
クローリクの蛇蝎弓,ユニーク,罪人たちの楽園,突,攻撃力：250 命中：300 回避：300 行動速度：200 攻撃回数：5 致命打率：50.0 毒攻撃：40.0 即死攻撃：7.0 風威力：15.0 支援発動率：3.0,即効毒 暗殺 蛇蝎,
ラヴァボムボウ,ユニーク,逆流溶岩道,突,攻撃力：300 攻撃回数：2 拡散攻撃：50.0 火威力：20.0 ブレス威力：15.0 水耐性：-20.0 石化耐性：-40.0,［発動］時限爆弾,
不死鳥の赤弓,ユニーク,不死鳥座,突,攻撃力：600 魔力：460 命中：600 攻撃回数：3 自然回復：3.0 悪魔特攻：40.0 不死特攻：40.0 火威力：30.0 火耐性：25.0 呪い耐性：50.0,,
トライアルウェポンズ,ユニーク,隠し砦ラスタルファ,突,攻撃力：200 魔力：200 命中：300 攻撃回数：2 麻痺攻撃：50.0 アイテムDROP率：2.0,トリックスター ［行動制限］攻撃,
ガンマカタパルト,ユニーク,地底大水脈,壊,攻撃力：2000 行動速度：-2000 攻撃回数：-20 拡散攻撃：60.0 壊威力：25.0 地威力：25.0 支援発動率：-10.0,投石 ブレイカー ［反動］行動不能Lv.1,
停戦の障壁弓,ユニーク,奇跡の源泉,突,HP：200 攻撃力：1 防御力：200 魔防：200 命中：250 反撃無効化率：25.0,［発動］障壁展開 ［倍率］攻撃力-95% ［倍率］魔力-95%,
ヘヴィワンショット,ユニーク,禁足の風穴,突,攻撃力：1111 行動速度：-1111 攻撃回数：-111 致命打威力：11.0 拡散攻撃：-111.0 突威力：11.0 固定ダメージ：1111.0,一射絶命 破砕矢 ［反動］行動不能Lv.1 ［倍率］攻撃力+100%,
オールインフェルノ,ユニーク,燃える大海,火,魔力：500 命中：350 攻撃回数：3 自然回復：-3.0 火威力：15.0 雷威力：15.0 ブレス威力：15.0 火耐性：10.0 雷耐性：10.0,インフェルノ ［無力］水 ［無力］物理属性 ［灼熱］魔力+10% ［落雷］魔力+10%,
黄金の神矢,ユニーク,魚座,突,攻撃力：300 命中：400 攻撃回数：4 混乱攻撃：40.0 暗闇攻撃：40.0 貫通攻撃：50.0 アイテムDROP率：2.0,黄金の神矢,
鉛の神矢,ユニーク,魚座,突,攻撃力：200 命中：300 攻撃回数：5 致命打率：30.0 致命打威力：40.0,鉛の神矢,
カストルボウ,ユニーク,双子座,突,攻撃力：440 命中：440 攻撃回数：4 致命打率：20.0 貫通攻撃：20.0 不死特攻：20.0 オプション付与率：2.0 最低命中率：4.0 支援発動率：4.0 反撃無効化率：20.0,二の矢 双子の絆,
鳥喰鳥のスリンガー,ユニーク,禁足の風穴,突,攻撃力：550 命中：550 攻撃回数：3 麻痺攻撃：30.0 多段攻撃：30.0 即死攻撃：5.0 最低命中率：5.0 支援発動率：2.0,バードストライク,
エクリプスクロスボウ,ユニーク,星崩しの古塔,突,攻撃力：700 魔力：700 命中：500 回避：300 暗闇攻撃：30.0 無威力：15.0 ブレス威力：15.0 突耐性：10.0 最低命中率：2.0 支援発動率：3.0,エクリプス ［HP消費］無Lv.2 ［倍率］魔力+25% ［変換］魔力12%⇒攻撃力,
ケイローンの長弓,アーティファクト,射手座,突,HP：360 攻撃力：800 魔力：800 魔防：500 命中：1500 行動速度：300 戦闘後全体回復：2.0 魔獣特攻：30.0 幻神特攻：30.0 突威力：10.0 風耐性：20.0 支援発動率：3.0 反撃無効化率：10.0,サジタリウス,
タイダルボア,アーティファクト,リヴァイアサンの胃袋,突,攻撃力：650 魔力：600 命中：500 水威力：15.0 ブレス威力：20.0 水耐性：15.0 狂化耐性：-15.0 再行動発動率：2.5,［変換］狂化耐性-10%⇒ブレス威力 タイダルボア ［上限］怒りカウントLv.2 ［水中］攻撃力+25%,
